phys_Sci1_PMT,opticalphoton,2.89165e-06,1.74718,11.5343,0,-2.28311,349.89,399.405,3229,1,4
phys_Sci1_PMT,opticalphoton,3.03604e-06,3.96684,17.454,0,-14.8902,349.89,392.424,2848,1,8
phys_Sci1_PMT,opticalphoton,3.06863e-06,1.82358,9.93221,0,-4.36492,349.89,387.717,2777,1,8
phys_Sci1_PMT,opticalphoton,2.49662e-06,1.92007,9.91718,0,-13.0222,349.89,397.004,2232,1,12
phys_Sci1_PMT,opticalphoton,2.9856e-06,1.99852,16.3892,0,-10.1872,349.89,405.71,1816,1,12
phys_Sci1_PMT,opticalphoton,1.79428e-06,5.31632,13.4324,0,8.49339,349.89,414.432,1805,1,16
phys_Sci1_PMT,opticalphoton,2.35431e-06,1.78559,10.8349,0,2.27689,349.89,412.734,1512,1,8
phys_Sci1_PMT,opticalphoton,2.71583e-06,1.74455,11.2022,0,0.0406749,349.89,414.151,1229,1,2
phys_Sci1_PMT,opticalphoton,1.99959e-06,1.8429,18.4758,0,16.0476,349.89,393.875,1046,1,10
phys_Sci1_PMT,opticalphoton,2.77995e-06,3.93099,12.2371,0,5.83863,349.89,415.998,1014,1,6
phys_Sci1_PMT,opticalphoton,2.71789e-06,5.45422,16.6867,0,12.2464,349.89,388.976,848,1,24
phys_Sci1_PMT,opticalphoton,2.98238e-06,8.8714,16.1668,0,5.86419,349.89,390.792,830,1,30
phys_Sci1_PMT,opticalphoton,1.80907e-06,8.6619,19.6075,0,8.39587,349.89,394.202,680,1,10
phys_Sci1_PMT,opticalphoton,2.53296e-06,5.24342,12.3391,0,-16.2202,349.89,394.98,281,1,10
phys_Sci1_PMT,opticalphoton,2.2682e-06,2.09781,9.89016,0,-16.6325,349.89,399.179,6152,1,16
phys_Sci1_PMT,opticalphoton,2.83231e-06,6.44557,15.9196,0,0.673375,349.89,387.704,5819,1,22
phys_Sci1_PMT,opticalphoton,2.62379e-06,1.99466,9.83008,0,-10.5415,349.89,409.338,5495,1,12
phys_Sci1_PMT,opticalphoton,2.98394e-06,6.24371,19.5376,0,11.0503,349.89,411.707,5281,1,8
phys_Sci1_PMT,opticalphoton,2.48472e-06,1.80268,11.0066,0,3.31241,349.89,389.112,5225,1,6
